PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
5N4T,1.2,HYDROLASE,Y,0.176,0.196,Y,AB,467,11-FEB-17,NA
5N5G,1.3,HYDROLASE,N,0.145,0.156,Y,A,233,14-FEB-17,NA
5N6F,1.1,TRANSFERASE,Y,0.137,0.153,Y,A,365,15-FEB-17,NA
5N8B,1,BIOTINBINDINGPROTEIN,N,0.139,0.155,Y,ABDG,535,23-FEB-17,NA
5N9H,1,CELLADHESION,N,0.082,0.096,Y,ABCM,16,24-FEB-17,NA
5NAI,1.1,HYDROLASE,Y,0.131,0.141,Y,A,231,28-FEB-17,NA
5NAT,1.2,HYDROLASE,Y,NULL,NULL,Y,A,220,28-FEB-17,NA
5NB4,1.1,PHOTOSYNTHESIS,N,0.149,0.184,Y,NA,4164,01-MAR-17,NA
5NCG,1,CELLADHESION,Y,0.126,0.149,Y,AB,226,04-MAR-17,NA
5NE2,1.2,HYDROLASE,N,0.153,0.164,Y,AB,540,09-MAR-17,NA
5NFM,0.8,LIGASE,Y,0.122,0.132,Y,A,75,14-MAR-17,NA
5NG9,1.1,MEMBRANEPROTEIN,N,0.110,0.133,Y,A,263,17-MAR-17,NA
5NGG,1.2,HYDROLASE,N,0.122,0.146,Y,AB,548,17-MAR-17,NA
5NI3,1.3,FLUORESCENTPROTEIN,N,0.175,0.191,Y,A,904,23-MAR-17,NA
5NJ2,1.2,HYDROLASE,N,0.168,0.190,Y,AB,537,27-MAR-17,NA
5NJ9,1.3,HYDROLASE,N,0.151,0.182,Y,AC,1853,28-MAR-17,NA
5NLD,0.96,SUGARBINDINGPROTEIN,N,0.137,0.149,Y,AB,274,04-APR-17,NA
5NLU,1.2,IMMUNESYSTEM,N,0.177,0.198,Y,A,118,05-APR-17,NA
5NMN,0.95,ANTIMICROBIALPROTEIN,N,0.156,0.154,Y,A,34,06-APR-17,NA
5NOA,1.3,HYDROLASE,N,0.123,0.148,Y,A,354,11-APR-17,NA
5NQ0,1.1,IMMUNESYSTEM,Y,0.190,0.209,Y,A,383,19-APR-17,NA
5NQI,0.85,RNA,N,0.174,0.170,Y,A,26,20-APR-17,NA
5NQO,1.1,COPPER-BINDINGPROTEIN,N,0.126,0.145,Y,A,126,20-APR-17,NA
5NR4,1.2,STRUCTURALPROTEIN,N,0.201,0.214,Y,AB,426,21-APR-17,NA
5NRH,1.3,LIGASE,N,0.148,0.190,Y,AB,619,23-APR-17,NA
5NSA,1.3,TRANSPORTPROTEIN,N,0.146,0.179,Y,A,106,25-APR-17,NA
5NVG,1.1,SIGNALINGPROTEIN,N,0.131,0.167,Y,A,75,04-MAY-17,NA
5NVJ,1.2,SIGNALINGPROTEIN,N,NULL,0.201,Y,AB,120,04-MAY-17,NA
5NW3,0.59,ELECTRONTRANSPORT,N,0.135,0.146,Y,A,54,04-MAY-17,NA
5NWP,1.1,CELLADHESION,N,0.118,0.143,Y,AB,394,08-MAY-17,NA
5NXZ,1.2,HYDROLASE,N,0.169,0.196,Y,A,261,11-MAY-17,NA
5NYK,1.1,OXIDOREDUCTASE,N,0.155,0.162,Y,A,118,11-MAY-17,NA
5NZO,1.3,OXIDOREDUCTASE,Y,0.198,0.241,Y,BA,390,14-MAY-17,NA
5O0S,1.2,HYDROLASE,N,0.140,0.163,Y,A,768,16-MAY-17,NA
5O0U,0.99,TOXIN,N,0.127,0.140,Y,A,30,17-MAY-17,NA
5O0Z,1.3,ANTIBIOTIC,Y,0.146,0.165,Y,AB,16,17-MAY-17,NA
5O15,1.2,LYASE,N,0.136,0.158,Y,AB,571,18-MAY-17,NA
5O2X,0.95,OXIDOREDUCTASE,N,0.116,0.127,Y,A,247,23-MAY-17,NA
5O3I,1.2,TRANSCRIPTION,Y,0.158,0.178,Y,A,111,23-MAY-17,NA
5O45,0.99,CELLCYCLE,Y,0.114,0.137,Y,A,137,26-MAY-17,NA
5O5S,1.2,CHAPERONE,N,0.155,0.176,Y,A,123,02-JUN-17,NA
5O6H,1.3,TRANSFERASE,Y,0.165,0.193,Y,AB,764,06-JUN-17,NA
5O7U,1.1,SUGARBINDINGPROTEIN,Y,0.105,0.129,Y,AB,164,09-JUN-17,NA
5O99,0.87,PROTEINBINDING,N,0.112,0.117,Y,BA,119,16-JUN-17,NA
5OAV,0.95,TRANSFERASE,N,0.142,0.160,Y,AC,132,23-JUN-17,NA
5OAZ,1,TRANSFERASE,N,0.146,0.163,Y,AB,115,25-JUN-17,NA
5OB1,1.2,TRANSFERASE,Y,0.120,0.141,Y,A,69,25-JUN-17,NA
5OBY,1.3,CHAPERONE,Y,0.142,0.161,Y,A,365,29-JUN-17,NA
5OD4,1.1,UNKNOWNFUNCTION,N,0.140,0.169,Y,A,124,04-JUL-17,NA
5OD9,1.1,DENOVOPROTEINHYDROLASE,N,NULL,NULL,Y,AB,183,05-JUL-17,NA
5OFK,1.2,HYDROLASE,Y,0.173,0.186,Y,A,339,11-JUL-17,NA
5OFS,1.1,METALBINDINGPROTEIN,N,0.126,0.145,Y,ABCD,224,11-JUL-17,NA
5OGJ,1.1,LYASE,N,0.134,0.155,Y,BA,522,13-JUL-17,NA
5OGN,1.1,LYASE,N,0.175,0.202,Y,AB,517,13-JUL-17,NA
5OGO,0.99,LYASE,N,0.127,0.148,Y,A,258,13-JUL-17,NA
5OGP,1.1,LYASE,N,0.125,0.150,Y,A,259,13-JUL-17,NA
5OHQ,1.1,TRANSCRIPTION,N,0.123,0.140,Y,A,110,17-JUL-17,NA
5OJ5,1.1,PHOTOSYNTHESIS,N,0.145,0.162,Y,A,316,20-JUL-17,NA
5OJC,1.3,OXIDOREDUCTASE,N,0.194,0.215,Y,A,153,21-JUL-17,NA
5OK4,1.3,OXIDOREDUCTASE,N,0.128,0.147,Y,A,344,25-JUL-17,NA
5OK6,1.3,PROTEINBINDING,Y,0.158,0.178,Y,AB,460,25-JUL-17,NA
5OKA,1.3,HYDROLASE,N,0.128,0.149,Y,ABCD,1848,25-JUL-17,NA
5OL4,1.3,HYDROLASE,N,0.120,0.137,Y,A,790,26-JUL-17,NA
5OLR,1.1,LYASE,N,0.146,0.166,Y,ABC,1276,28-JUL-17,NA
5ONK,1,HYDROLASE,N,0.167,0.187,Y,A,202,03-AUG-17,NA
5OPF,1.1,CARBOHYDRATE,N,0.141,0.152,Y,A,194,09-AUG-17,NA
5OQZ,0.81,UNKNOWNFUNCTION,N,0.085,0.091,Y,A,18,14-AUG-17,NA
5OTN,0.99,HYDROLASE,Y,0.121,0.133,Y,NA,156,22-AUG-17,NA
5OUO,1.1,LIPIDBINDINGPROTEIN,N,0.150,0.167,Y,A,263,24-AUG-17,NA
5OX8,1.3,FLUORESCENTPROTEIN,N,0.134,0.166,Y,A,224,06-SEP-17,NA
5OXA,1.2,FLUORESCENTPROTEIN,N,0.117,0.139,Y,A,228,06-SEP-17,NA
5OXC,1,FLUORESCENTPROTEIN,N,0.100,0.115,Y,A,229,06-SEP-17,NA
5OXZ,1.2,SPLICING,Y,0.138,0.156,Y,A,123,07-SEP-17,NA
5P99,1.2,TRANSFERASE,Y,0.147,0.177,Y,A,213,30-AUG-16,NA
5P9J,1.1,TRANSFERASE,N,0.210,0.224,Y,A,263,20-SEP-16,NA
5P9V,1,TRANSFERASE,Y,0.134,0.162,Y,A,213,19-OCT-16,NA
5PTI,1,HYDROLASEINHIBITOR,N,NULL,NULL,Y,A,58,05-OCT-84,NA
5Q22,1.2,CELLCYCLE,N,0.179,0.205,Y,A,341,15-MAY-17,NA
5QI7,1.1,TRANSFERASE,N,0.139,0.163,Y,A,182,21-MAY-18,NA
5QIF,1.2,OXIDOREDUCTASE,N,0.164,0.183,Y,A,359,22-MAY-18,NA
5QU2,1,SIGNALINGPROTEIN,Y,0.168,0.205,Y,AB,130,28-JAN-20,NA
5QU3,1,SIGNALINGPROTEIN,N,0.165,0.189,Y,AB,113,28-JAN-20,NA
5QU5,1.1,SIGNALINGPROTEIN,N,0.155,0.208,Y,AB,118,13-DEC-19,NA
5QU8,0.93,SIGNALINGPROTEIN,N,0.151,0.182,Y,A,58,28-JAN-20,NA
5SUI,1.3,PROTEINBINDING,N,0.130,0.162,Y,A,382,03-AUG-16,NA
5SV5,1,HYDROLASE,N,0.133,0.148,Y,A,103,04-AUG-16,NA
5SVY,1.1,TRANSCRIPTION,Y,0.123,0.147,Y,A,60,08-AUG-16,NA
5SY4,0.98,CHAPERONE,N,0.114,0.127,Y,AB,390,10-AUG-16,NA
5SY9,1.1,PROTEINBINDING,N,0.118,0.137,Y,A,187,10-AUG-16,NA
5SYA,1.1,PROTEINBINDING,N,0.114,0.128,Y,A,185,10-AUG-16,NA
5SZC,1.2,PEPTIDEBINDINGPROTEIN,N,0.149,0.167,Y,A,128,13-AUG-16,NA
5T39,1.1,TRANSFERASE,N,0.138,0.154,Y,A,233,25-AUG-16,NA
5T5L,1.2,SUGARBINDINGPROTEIN,Y,0.108,0.130,Y,AB,465,31-AUG-16,NA
5T74,1.2,TRANSFERASE,Y,0.155,0.169,Y,A,257,02-SEP-16,NA
5TAB,1.3,TRANSCRIPTION,N,0.121,0.144,Y,A,53,09-SEP-16,NA
5TDA,0.79,LIGASE,Y,0.121,0.128,Y,A,75,19-SEP-16,NA
5TEG,1.3,TRANSFERASE,Y,0.191,0.210,Y,AB,331,21-SEP-16,NA
5TFQ,1.1,HYDROLASE,N,0.116,0.134,Y,A,273,26-SEP-16,NA
5TIF,0.97,HYDROLASE,N,0.123,0.137,Y,A,182,02-OCT-16,NA
5TKG,1.2,OXIDOREDUCTASE,N,0.114,0.140,Y,AB,446,06-OCT-16,NA
5TNV,1,ISOMERASE,N,NULL,0.137,Y,A,306,14-OCT-16,NA
5TOF,1.1,SIGNALINGPROTEIN,N,0.156,0.175,Y,A,73,17-OCT-16,NA
5TOG,1.1,SIGNALINGPROTEIN,N,0.104,0.121,Y,A,75,17-OCT-16,NA
5TOP,1.2,HYDROLASE/ANTIBIOTIC,N,0.128,0.146,Y,AB,522,18-OCT-16,NA
5TOQ,1.2,TRANSFERASE,N,0.158,0.174,Y,AB,804,18-OCT-16,NA
5TP0,1.3,HYDROLASE/HYDROLASEINHIBITOR,Y,0.119,0.137,Y,A,221,19-OCT-16,NA
5TQJ,1.3,SIGNALINGPROTEIN,N,0.141,0.172,Y,A,124,24-OCT-16,NA
5TRQ,1.3,OXIDOREDUCTASE,N,0.189,0.207,Y,AB,566,27-OCT-16,NA
5TSP,1.2,HYDROLASE,N,0.145,0.158,Y,AB,896,31-OCT-16,NA
5TVY,1,HYDROLASE,N,0.108,0.122,Y,AB,375,10-NOV-16,NA
5TWT,1.3,OXIDOREDUCTASE,N,0.135,0.145,Y,A,291,14-NOV-16,NA
5TXJ,1.1,DENOVOPROTEIN,N,0.146,0.157,Y,AB,12,16-NOV-16,NA
5TY3,1.3,ELECTRONTRANSPORT,N,0.148,0.166,Y,AB,208,18-NOV-16,NA
5TZM,1.2,STRUCTURALPROTEIN,N,0.165,0.185,Y,A,90,21-NOV-16,NA
5U3A,0.95,HYDROLASE,N,0.110,0.121,Y,A,495,01-DEC-16,NA
5U4H,1.1,LIPID-BINDINGPROTEIN,N,0.162,0.176,Y,AB,840,04-DEC-16,NA
5U5O,1.1,CELLADHESION,N,0.183,0.211,Y,A,287,07-DEC-16,NA
5U64,1.2,IMMUNESYSTEM,N,0.147,0.170,Y,B,114,07-DEC-16,NA
5U69,1.3,PROTEINBINDINGINHIBITOR,Y,0.134,0.152,Y,A,358,07-DEC-16,NA
5UD9,1.3,IMMUNESYSTEM,N,0.180,0.188,Y,H,432,23-DEC-16,NA
5UE1,1.1,HYDROLASE,N,0.131,0.158,Y,AB,466,29-DEC-16,NA
5UEJ,1.3,HYDROLASE,N,0.115,0.153,Y,AB,751,02-JAN-17,NA
5UFY,1.1,TRANSFERASE,N,0.151,0.168,Y,A,179,06-JAN-17,NA
5UGG,1.2,HYDROLASE/INHIBITOR,N,0.165,0.176,Y,A,246,08-JAN-17,NA
5ULB,1.3,SUGARBINDINGPROTEIN,N,0.112,0.153,Y,A,331,24-JAN-17,NA
5UM2,1.1,TRANSPORTPROTEIN,N,0.122,0.139,Y,A,316,26-JAN-17,NA
5UM3,1.2,LIGASE,N,0.139,0.158,Y,A,72,26-JAN-17,NA
5UMP,1.1,TIANCIMYCIN-BINDINGPROTEIN,N,0.185,0.203,Y,AB,242,29-JAN-17,NA
5UQ6,1.2,HYDROLASE,Y,0.142,0.156,Y,A,301,06-FEB-17,NA
5UQZ,1.1,SUGARBINDINGPROTEIN,N,0.126,0.146,Y,A,354,08-FEB-17,NA
5UUK,1.2,APOPTOSIS,Y,0.144,0.163,Y,A,174,17-FEB-17,NA
5UUO,1.3,TRANSFERASE,N,0.130,0.132,Y,BA,569,17-FEB-17,NA
5UWZ,1.3,LYASE,N,0.140,0.167,Y,A,219,21-FEB-17,NA
5V01,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.126,0.161,Y,AB,329,28-FEB-17,NA
5V0Z,1.3,TRANSFERASE,Y,0.138,0.164,Y,ABC,567,28-FEB-17,NA
5V1K,1.2,RNA,N,NULL,0.168,Y,AB,20,02-MAR-17,NA
5V1L,1.2,RNA,N,NULL,0.153,Y,ABCD,44,02-MAR-17,NA
5V2H,1.1,RNA,N,0.137,0.157,Y,ABCD,24,04-MAR-17,NA
5V2O,1.2,DENOVOPROTEIN,N,0.146,0.178,Y,ABCDEF,360,06-MAR-17,NA
5V3N,1.3,HYDROLASE,Y,0.193,0.217,Y,A,142,07-MAR-17,NA
5V5C,1.3,STRUCTURALPROTEIN,N,0.224,0.266,Y,A,6,14-MAR-17,NA
5V5R,1.2,OXYGENTRANSPORT,N,0.140,0.169,Y,BA,274,15-MAR-17,NA
5V6J,1.2,SUGARBINDINGPROTEIN,N,NULL,0.182,Y,ABCD,444,16-MAR-17,NA
5V8G,1.2,HYDROLASE,N,0.147,0.180,Y,A,127,22-MAR-17,NA
5V91,1.3,TRANSFERASE,N,0.127,0.149,Y,AB,276,22-MAR-17,NA
5V92,1.1,HYDROLASE,N,0.139,0.162,Y,AB,258,22-MAR-17,NA
5VG0,1.1,SUGARBINDINGPROTEIN,N,0.114,0.128,Y,AB,284,10-APR-17,NA
5VHG,1.3,PLANTPROTEIN,N,0.151,0.180,Y,A,150,13-APR-17,NA
5VI6,1.2,HYDROLASE/HYDROLASEINHIBITOR,Y,0.122,0.143,Y,A,355,14-APR-17,NA
5VLE,0.85,HYDROLASE,N,0.109,NULL,Y,AB,522,25-APR-17,NA
5VNY,1.1,ENDOCYTOSISPROTEINBINDING,N,0.170,0.178,Y,A,64,01-MAY-17,NA
5VSG,1.1,DENOVOPROTEIN,N,0.117,0.134,Y,A,4,11-MAY-17,NA
5VX1,1.2,APOPTOSIS,N,0.168,0.193,Y,AB,326,23-MAY-17,NA
5VX5,1.3,VIRALPROTEIN,Y,0.154,0.167,Y,A,161,23-MAY-17,NA
5VXQ,1,RNADNA,N,NULL,0.160,Y,NA,22,23-MAY-17,NA
5W0G,1.1,RNABINDINGPROTEIN/RNA,N,0.136,0.153,Y,A,84,30-MAY-17,NA
5W0H,1.1,RNABINDINGPROTEIN/RNA,N,0.154,0.168,Y,A,80,30-MAY-17,NA
5W46,1.2,SIGNALINGPROTEIN,N,0.179,0.190,Y,AB,150,09-JUN-17,NA
5W8Q,1.2,TRANSFERASE,N,0.099,0.122,Y,AB,757,22-JUN-17,NA
5W98,1.2,BIOSYNTHETICPROTEIN,N,0.164,0.186,Y,A,300,22-JUN-17,NA
5WA9,1.1,HYDROLASE,N,0.138,0.153,Y,AB,227,26-JUN-17,NA
5WAA,1.1,HYDROLASE,N,0.134,0.149,Y,AB,228,26-JUN-17,NA
5WCM,1.2,HYDROLASE/HYDROLASEINHIBITOR,Y,0.133,0.160,Y,AB,526,30-JUN-17,NA
5WDQ,1.3,ONCOPROTEINHYDROLASE,N,0.141,0.150,Y,A,166,05-JUL-17,NA
5WGI,1.1,HYDROLASE/HYDROLASEINHIBITOR,N,0.107,0.126,Y,A,360,14-JUL-17,NA
5WHN,1.1,PROTEINFIBRIL,Y,0.136,0.160,Y,A,6,17-JUL-17,NA
5WHP,1,PROTEINFIBRIL,N,0.087,0.093,Y,A,6,17-JUL-17,NA
5WIA,1,PROTEINFIBRIL,Y,0.157,0.181,Y,A,6,18-JUL-17,NA
5WIQ,1.3,PROTEINFIBRIL,Y,0.153,0.168,Y,AB,14,19-JUL-17,NA
5WKB,1,PROTEINFIBRIL,N,0.225,0.270,Y,A,6,24-JUL-17,NA
5WMG,1.2,TRANSCRIPTION/TRANSCRIPTIONINHIBITOR,Y,0.130,0.146,Y,A,127,28-JUL-17,NA
5WQJ,1.2,TRANSFERASE/INHIBITOR,N,0.141,0.171,Y,AB,578,27-NOV-16,NA
5WS7,1,HYDROLASE,Y,0.118,0.138,Y,AB,312,05-DEC-16,NA
5WSF,1.1,METALBINDINGPROTEIN,N,NULL,0.183,Y,ABCD,441,06-DEC-16,NA
5WSQ,1.1,DNA,N,0.156,0.175,Y,AB,16,08-DEC-16,NA
5WXH,1.3,HYDROLASE,N,0.154,0.175,Y,AC,135,07-JAN-17,NA
5X2E,1.3,CELLADHESION,N,0.183,0.216,Y,A,80,31-JAN-17,NA
5X5M,1.2,HYDROLASE/ANTIBIOTIC,N,0.181,0.195,Y,AB,410,16-FEB-17,NA
5X7L,1.2,ISOMERASE,N,0.151,0.166,Y,AB,261,27-FEB-17,NA
5X9L,0.9,PLANTPROTEIN,N,NULL,0.129,Y,A,207,08-MAR-17,NA
5X9M,0.93,PLANTPROTEIN,N,NULL,0.147,Y,A,207,08-MAR-17,NA
5XA4,1.3,TRANSPORTPROTEIN,N,0.169,0.183,Y,AB,368,10-MAR-17,NA
5XBC,1.2,HYDROLASE,N,0.172,0.193,Y,AB,235,16-MAR-17,NA
5XBU,1,HYDROLASE,N,0.126,0.144,Y,A,179,21-MAR-17,NA
5XCT,1.2,IMMUNESYSTEM,N,0.154,0.185,Y,A,327,23-MAR-17,NA
5XCY,1.2,HYDROLASE,N,0.139,0.158,Y,A,358,24-MAR-17,NA
5XEC,1.1,ELECTRONTRANSPORT,N,0.176,0.197,Y,C,162,04-APR-17,NA
5XH2,1.2,HYDROLASE,N,0.100,0.125,Y,A,261,19-APR-17,NA
5XHI,1.3,OXIDOREDUCTASE,N,0.127,0.153,Y,A,174,21-APR-17,NA
5XJZ,0.98,DNA,Y,0.124,0.131,Y,AB,16,04-MAY-17,NA
5XMO,1.2,ELECTRONTRANSPORT,N,0.130,0.161,Y,A,124,16-MAY-17,NA
5XPF,1,HYDROLASE,N,NULL,0.193,Y,A,164,01-JUN-17,NA
5XQP,1,ANTIFREEZEPROTEIN,N,0.112,0.125,Y,ABCD,259,07-JUN-17,NA
5XQR,1.3,ANTIFREEZEPROTEIN,N,0.133,0.156,Y,AB,125,07-JUN-17,NA
5XQU,1,ANTIFREEZEPROTEIN,N,0.121,0.133,Y,A,65,07-JUN-17,NA
5XQV,0.97,ANTIFREEZEPROTEIN,N,0.130,0.158,Y,A,66,07-JUN-17,NA
5XR0,0.98,ANTIFREEZEPROTEIN,N,0.110,0.121,Y,A,66,07-JUN-17,NA
5XSG,0.73,RNABINDINGPROTEIN,N,0.263,0.289,Y,A,6,14-JUN-17,NA
5XVT,0.85,TRANSFERASE,Y,0.133,0.139,Y,A,675,28-JUN-17,NA
5XW2,1.3,BIOSYNTHETICPROTEIN,N,0.169,0.185,Y,A,375,29-JUN-17,NA
5XX2,1.1,HYDROLASE,N,0.131,0.146,Y,AB,116,01-JUL-17,NA
5XX3,1.1,HYDROLASE,N,0.157,0.193,Y,AB,116,01-JUL-17,NA
5XX8,1.3,HYDROLASE,N,0.165,0.206,Y,AB,116,01-JUL-17,NA
5XYP,1.2,HYDROLASE,N,0.123,0.143,Y,AB,663,10-JUL-17,NA
5XYQ,1.1,HYDROLASE,N,0.123,0.143,Y,AB,663,10-JUL-17,NA
5XYS,1.1,HYDROLASE,N,0.134,0.152,Y,AB,663,10-JUL-17,NA
5Y0M,1,HYDROLASE,N,0.117,0.134,Y,AB,661,18-JUL-17,NA
5Y1F,1.3,OXIDOREDUCTASE,N,0.158,0.181,Y,A,311,20-JUL-17,NA
5Y45,1,STRUCTURALPROTEIN,N,0.146,0.175,Y,ABCDEF,108,01-AUG-17,NA
5Y4Z,1.3,HYDROLASE,Y,0.193,0.216,Y,A,440,06-AUG-17,NA
5Y90,1.3,TRANSFERASE,N,0.129,0.167,Y,A,304,22-AUG-17,NA
5Y9Z,1.1,TRANSFERASE,N,0.157,0.179,Y,AB,396,29-AUG-17,NA
5YC6,1.2,HYDROLASE/HYDROLASEINHIBITOR,Y,0.198,0.228,Y,U,227,06-SEP-17,NA
5YCE,0.77,OXYGENSTORAGE,N,0.145,0.162,Y,A,151,07-SEP-17,NA
5YDE,1,TRANSCRIPTION,N,0.120,0.139,Y,A,111,13-SEP-17,NA
5YH4,1.3,HYDROLASEINHIBITOR,N,0.175,0.188,Y,A,179,27-SEP-17,NA
5YKZ,1.2,VIRALPROTEIN,N,0.152,0.170,Y,AB,226,16-OCT-17,NA
5YO6,1.2,ELECTRONTRANSPORT,N,0.215,0.237,Y,A,106,26-OCT-17,NA
5YOB,1.1,ELECTRONTRANSPORT,N,0.167,0.177,Y,A,148,27-OCT-17,NA
5YOK,0.85,HYDROLASE/HYDROLASEINHIBITOR,Y,0.103,0.125,Y,AB,198,29-OCT-17,NA
5YRH,1.2,SUGARBINDINGPROTEIN,N,0.193,0.225,Y,A,283,09-NOV-17,NA
5YSX,1.2,CELLADHESION,N,0.155,0.167,Y,A,309,16-NOV-17,NA
5YVK,1.3,TRANSFERASE,N,0.166,0.187,Y,A,198,26-NOV-17,NA
5YW3,1.2,ELECTRONTRANSPORT,N,0.129,0.173,Y,ABCD,496,28-NOV-17,NA
5YYP,1,PLANTPROTEIN,N,NULL,0.136,Y,A,207,10-DEC-17,NA
5YYQ,1.1,PLANTPROTEIN,N,NULL,0.141,Y,A,207,10-DEC-17,NA
5YYR,1.1,PLANTPROTEIN,N,NULL,0.155,Y,A,207,10-DEC-17,NA
5Z37,1.3,HYDROLASE,N,0.157,0.179,Y,A,246,05-JAN-18,NA
5Z3B,1.3,HYDROLASE,N,0.112,0.125,Y,A,371,05-JAN-18,NA
5Z3D,1.3,HYDROLASE,N,0.114,0.134,Y,A,370,05-JAN-18,NA
5Z3E,1.1,HYDROLASE,N,0.108,0.118,Y,A,371,05-JAN-18,NA
5Z42,1.3,DNABINDINGPROTEIN,N,0.191,0.204,Y,A,102,10-JAN-18,NA
5Z95,1.2,HYDROLASE,N,0.130,0.143,Y,A,268,02-FEB-18,NA
5ZAT,1.1,DNA,N,0.157,0.181,Y,AB,18,08-FEB-18,NA
5ZB0,1.2,TRANSFERASE,Y,0.130,0.153,Y,AB,370,09-FEB-18,NA
5ZCK,1.3,PROTEINFIBRIL,N,0.139,0.153,Y,NA,4,18-FEB-18,NA
5ZG2,1.3,TRANSPORTPROTEIN,Y,0.171,0.190,Y,AB,518,07-MAR-18,NA
5ZGF,1.2,HYDROLASE,N,0.153,0.176,Y,A,229,08-MAR-18,NA
5ZGL,0.95,RNABINDINGPROTEIN,N,0.102,0.121,Y,NA,14,09-MAR-18,NA
5ZGW,0.95,HYDROLASE,N,0.129,0.140,Y,A,229,10-MAR-18,NA
5ZH9,1.1,HYDROLASE,N,0.138,0.148,Y,A,189,12-MAR-18,NA
5ZHZ,1.2,DNABINDINGPROTEIN,N,0.140,0.159,Y,A,252,13-MAR-18,NA
5ZIM,1.3,PROTONTRANSPORT,N,NULL,0.148,Y,A,228,16-MAR-18,NA
5ZIW,1.3,HYDROLASE,N,0.144,0.162,Y,A,189,17-MAR-18,NA
5ZN1,1.1,TRANSFERASE,N,0.161,0.180,Y,A,327,07-APR-18,NA
5ZN2,1.2,TRANSFERASE,N,0.153,0.181,Y,A,324,07-APR-18,NA
5ZRC,1.1,HYDROLASE,N,0.144,0.172,Y,A,124,24-APR-18,NA
5ZRQ,1.1,HYDROLASE,N,0.122,0.142,Y,A,262,25-APR-18,NA
5ZRY,1.3,PROTEINBINDING,Y,0.170,0.199,Y,NA,330,25-APR-18,NA
5ZTD,1.1,ELECTRONTRANSPORT,N,NULL,0.151,Y,AB,248,02-MAY-18,NA
5ZW7,1.3,BIOSYNTHETICPROTEIN,Y,0.114,0.127,Y,A,383,14-MAY-18,NA
5ZX8,1,HYDROLASE,N,0.129,0.143,Y,A,186,18-MAY-18,NA
5ZXE,1.3,CELLCYCLE,N,0.172,0.201,Y,NA,130,19-MAY-18,NA
6A4U,1.2,METALBINDINGPROTEIN,N,0.139,0.157,Y,ABCDEF,1014,21-JUN-18,NA
6A56,1.2,SUGARBINDINGPROTEIN,N,0.144,0.176,Y,AB,324,22-JUN-18,NA
6A9S,1.2,VIRALPROTEIN,N,0.108,0.130,Y,A,342,16-JUL-18,NA
6AEM,1.3,UNKNOWNFUNCTION,N,0.153,0.186,Y,AB,168,05-AUG-18,NA
6AF7,1.3,HYDROLASE,N,0.101,0.120,Y,A,187,08-AUG-18,NA
6AFM,1.3,HYDROLASE,N,0.151,0.168,Y,A,268,08-AUG-18,NA
6AID,1.3,HYDROLASE,N,0.135,0.165,Y,A,261,22-AUG-18,NA
6AIS,1.3,DENOVOPROTEIN,N,0.178,0.203,Y,O,244,24-AUG-18,NA
6AKN,1.2,ELECTRONTRANSPORT,N,NULL,0.133,Y,AB,248,03-SEP-18,NA
6ANM,0.64,DENOVOPROTEIN,N,0.086,0.090,Y,A,0,14-AUG-17,NA
6ANN,0.76,DENOVOPROTEIN,N,0.144,0.157,Y,ABCDE,0,14-AUG-17,NA
6AO9,1.1,LYASE,N,0.188,0.195,Y,A,171,15-AUG-17,NA
6AP8,1.3,PLANTPROTEIN,N,0.121,0.154,Y,AB,533,17-AUG-17,NA
6APO,1.2,IMMUNESYSTEM,N,0.149,0.173,Y,A,116,17-AUG-17,NA
6AQT,1.1,DNA,N,0.195,0.231,Y,ABCDEF,36,21-AUG-17,NA
6AQV,1.3,DNA,N,0.132,0.147,Y,ABCDEF,36,21-AUG-17,NA
6AQW,1.3,DNA,N,0.169,0.184,Y,ABCDEFGH,48,21-AUG-17,NA
6AR0,1.1,SIGNALINGPROTEIN,N,0.164,0.179,Y,A,138,21-AUG-17,NA
6AT0,1.3,TRANSCRIPTION,N,0.242,0.260,Y,A,57,27-AUG-17,NA
6AT8,1.1,LIPIDBINDINGPROTEIN,N,0.127,0.149,Y,A,133,28-AUG-17,NA
6ATR,1.3,TRANSFERASE,Y,0.168,0.182,Y,AB,441,29-AUG-17,NA
6AVX,1.3,HYDROLASE,N,0.151,0.166,Y,A,208,04-SEP-17,NA
6AXZ,0.75,PROTEINFIBRIL,N,0.243,0.246,Y,A,9,07-SEP-17,NA
6AYM,1.3,HYDROLASETRANSFERASE,N,0.190,0.205,Y,AB,458,08-SEP-17,NA
6B00,0.9,LYASE,N,0.121,0.144,Y,A,263,13-SEP-17,NA
6B17,1.3,DENOVOPROTEIN,N,0.133,0.148,Y,ABEFDC,72,17-SEP-17,NA
6B1K,1.2,ISOMERASE/ISOMERASEINHIBITOR,Y,0.136,0.154,Y,ABC,342,18-SEP-17,NA
6B26,1.2,PROTEINBINDING,N,0.153,0.169,Y,A,117,19-SEP-17,NA
6B29,1.3,PROTEINBINDING,N,0.158,0.189,Y,ABCD,230,19-SEP-17,NA
6B8F,1.1,OXIDOREDUCTASE,N,0.092,0.103,Y,A,172,07-OCT-17,NA
6BEV,1,TRANSFERASE,N,0.130,0.144,Y,NA,227,25-OCT-17,NA
